Year,Month,Site,Var.1,Var.2,Var.3
2018,8,1,164.2394364,495.6861343,81.70389877
2018,8,1,108.4775211,471.2521146,161.8198632
2018,8,1,412.2186384,190.3939535,156.4020167
2018,8,1,122.351437,210.5576501,29.99589407
2018,8,2,-3.199499508,-18.59813941,-18.06485502
2018,8,2,3.32063055,189.6481581,-10.50501492
2018,8,2,224.6840964,104.5151718,-45.58673244
2018,8,2,77.04125586,551.8196751,-1.750946576
2018,8,2,120.0563433,595.1474785,22.04990946
2018,8,2,-49.55734083,-625.0719117,-22.32074122
2018,8,2,122.4519526,-40.86373681,1.467656894
2018,8,2,98.56306332,-665.8309515,6.18261551
2018,8,3,113.4793003,141.9760276,-59.14444438
2018,8,3,107.1960719,316.9031776,36.38211855
2018,8,3,180.2479128,478.5463796,26.32504803
2018,8,3,133.2493907,1202.132872,-1.382501784
2018,8,3,129.3586841,944.1455199,16.20030443
2018,8,3,290.0008446,505.3432212,25.05928698
2018,8,3,313.2030606,4128.606193,0.847486255
2018,8,3,464.3054394,4124.308496,-18.32128985
2018,9,1,78.3097811,-468.2665668,17.04708649
2018,9,1,175.4810964,181.1096288,14.98976467
2018,9,1,216.9306154,240.5318132,16.82955262
2018,9,1,103.8366149,-47.83176568,-40.38127437
2018,9,1,178.2125491,-378.7622695,27.19176152
2018,9,1,224.8518612,-212.6734864,84.66807099
2018,9,1,217.7605739,1006.506635,80.30918903
2018,9,1,152.7725619,-587.9607392,204.6734778
2018,9,2,9.916560542,511.6918043,8.955583772
2018,9,2,168.0228182,313.5537747,50.17066946
2018,9,2,167.771663,110.6764333,36.42492874
2018,9,2,81.87874435,330.393552,40.94150225
2018,9,2,63.17861611,-241.8630498,-9.807996783
2018,9,2,152.7551107,681.8034258,45.43416308
2018,9,2,135.1955795,96.53515501,13.29597868
2018,9,2,139.5671238,-314.0770719,34.69318308
2018,9,3,84.73593601,-126.7279107,0.24028437
2018,9,3,29.66338569,330.0268594,54.18824747
2018,9,3,62.7219597,1754.371969,38.26440892
2018,9,3,167.122392,429.7405811,16.28519311
2018,9,3,91.64686097,-83.28085784,28.68049319
2018,9,3,85.73299561,164.580514,15.3768072
2018,9,3,163.4968072,-310.9972318,29.43527124
2018,9,3,123.351639,91.96798346,-28.59928613
2018,10,1,11.92953315,108.5025869,-119.8205315
2018,10,1,29.8233185,266.5176882,0.497232239
2018,10,1,34.3934864,-598.2225274,-25.40888145
2018,10,1,42.94753649,-305.3718964,31.20757279
2018,10,1,98.4755832,-99.15584784,68.25202883
2018,10,1,192.4196993,34.85811223,77.33595373
2018,10,1,58.58327668,-535.6777674,-10.97819643
2018,10,1,75.54911698,65.63796574,1.734274812
2018,10,2,17.17703653,-2.868442952,10.83736004
2018,10,2,70.81908099,-78.48152401,9.769201241
2018,10,2,222.4928094,1013.089511,-8.728088382
2018,10,2,101.712038,-542.4230527,-14.75373963
2018,10,2,130.1319881,219.3001088,3.753612425
2018,10,2,162.836279,-108.0173719,-22.21677002
2018,10,2,84.45107583,285.1170728,18.50341763
2018,10,2,204.861298,771.2027859,-5.474070863
2018,10,3,346.5918019,2115.826995,23.99995144
2018,10,3,230.959115,961.627197,21.9586717
2018,10,3,68.39102878,304.7544163,7.576799776
2018,10,3,327.7474042,697.549115,-4.217773555
2018,10,3,138.8932364,-730.1846721,47.64794073
2018,10,3,178.8897436,665.68706,14.36745216
2018,10,3,140.8882091,279.1694525,14.94488473
2018,10,3,321.1798255,-648.1764082,-3.466758171
2018,11,1,86.3347936,288.3750028,-15.06282803
2018,11,1,93.58586544,4.609101822,-7.993237097
2018,11,1,98.43162554,-128.1796026,-268.5020073
2018,11,1,84.25535465,-276.332447,-24.39236685
2018,11,1,123.3573408,47.44290591,-54.27884347
2018,11,1,98.37258412,2282.148249,-4.625807106
2018,11,1,147.5983044,1592.329792,-40.88838756
2018,11,1,96.64098843,1423.288904,38.84083928
2018,11,2,-6.507123424,54.84510483,-45.792301
2018,11,2,25.90189142,-561.6840753,94.06833142
2018,11,2,50.96591383,-185.1851633,-152.6525426
2018,11,2,260.9671653,-184.5723443,172.0521141
2018,11,2,145.4804864,580.3043232,-21.76712642
2018,11,2,319.5309855,331.222978,9.989681839
2018,11,2,324.4849543,-385.0255068,-0.891834219
2018,11,2,363.5722584,-226.5878494,46.171236
